Date;PETR4;BBDC4;PETR3;ABEV3;BBAS3;B3SA3;ITSA4;VALE3;ITUB4;LREN3;UGPA3;BBDC3;VIVT4;BRFS3;KROT3;FIBR3;JBSS3;GGBR4;EMBR3;RENT3;BRKM5;EQTL3;WEGE3;RADL3;LAME4;CCRO3;PCAR4;HYPE3;BRML3;CMIG4;TIMP3;SBSP3;EGIE3;BRAP4;ESTC3;ELET3;MULT3;CSNA3;BTOW3;NATU3;USIM5;CSAN3;TAEE1;GOAU4;ENBR3;CYRE3;MRVE3;IGTA3;MRFG3;GOLL4
10/1/2008;26,631;9,91;34,124;3,011;11,55;6,129;2,845;23,287;13,066;3,429;9,655;8,834;20,062;16,974;1,519;27,439;4,525;17,65;11,14;2,292;7,227;4,133;3,443;2,954;4,27;4,01;31,322;5,671;3,458;5,574;5,999;6,605;11,506;15,345;3,816;12,941;4,568;12,812;40,527;13,667;17,311;9,049;3,395;24,679;4,666;15,457;4,522;5,826;15,831;12,529
10/2/2008;24,456;9,24;31,91;2,958;10,42;5,664;2,67;20,83;12,288;2,865;9,289;8,545;19,422;15,254;1,487;24,533;4,251;16,196;11,038;2,173;6,937;3,847;3,328;2,863;3,787;3,744;30,196;5,175;3,383;5,504;6,032;6,63;11,281;13,739;3,79;12,544;4,427;12,028;36,148;12,976;15,725;8,979;3,327;22,539;4,412;14,084;3,998;5,585;16,005;12,039
10/3/2008;23,655;8,775;31,335;2,933;9,753;4,888;2,498;20,951;11,415;2,998;8,747;7,856;19,293;14,73;1,461;21,903;3,757;15,561;10,927;1,882;6,547;3,671;3,477;2,804;3,619;3,51;28,924;5,132;3,206;5,387;6,057;6,157;11,337;13,855;3,732;12,752;4,388;11,609;33,486;13,529;15,025;9,118;3,511;21,741;4,286;13,339;3,64;5,621;16,024;11,377
10/6/2008;22,892;8,198;30,474;2,84;9,05;4,787;2,392;19,358;10,875;2,694;8,331;7,346;18,906;13,552;1,46;21,675;3,437;14,969;10,108;1,588;6,321;3,441;3,108;2,509;3,208;3,491;26,881;4,528;2,857;5,157;5,749;5,965;11,281;12,574;3,058;12,162;4,222;10,63;27,458;12,666;13,36;8,144;3,422;20,834;4,219;13,653;3,128;5,465;16,41;10,849
10/7/2008;21,595;8,149;28,669;2,74;8,521;4,74;2,297;18,571;10,526;2,666;7,655;7,313;19,942;12,286;1,423;21,074;3,611;13,701;10,151;1,696;5,995;3,282;3,188;2,394;3,04;3,494;26,899;4,7;2,406;5,14;5,757;5,6;10,66;11,652;3,019;11,708;4,289;9,791;23,294;12,424;12,65;8,109;3,32;19,013;4,393;11,769;2,751;5,424;15,493;9,745
10/8/2008;20,374;8,117;27,324;2,622;8,162;5,023;2,252;18,558;10,24;2,417;6,972;7,443;19,396;13,113;1,328;18,197;3,556;12,517;9,383;1,781;5,592;3,258;2,926;2,155;2,876;3,462;25,428;4,614;2,045;4,514;5,54;5,612;9,927;11,072;2,849;11,099;4,375;9,658;21,465;12,01;11,608;8,576;3,186;17,401;4,3;10,373;2,822;4,982;15,638;9,15
10/9/2008;19,748;7,537;25,462;2,455;7,52;5,293;2,095;17,88;9,728;2,502;6,742;6,728;19,336;12,975;1,38;17,244;3,108;12,162;9,085;1,807;5,273;3,3;2,663;2,214;2,654;3,373;24,974;4,7;2,045;4,397;5,499;5,113;9,363;10,492;3,069;11,288;4,164;9,43;21,027;11,838;11,696;8,687;3,191;16,797;4,277;8,961;2,728;5,224;13,514;8,41
10/10/2008;18,313;7,091;24,691;2,54;7,186;4,989;2,015;18,11;9,375;2,252;6,28;6,627;18,902;12,086;1,367;15,863;2,651;11,908;8,155;1,714;5,033;3,42;2,378;2,506;2,422;3,22;23,612;4,355;2,255;4,281;5,615;4,882;8,742;10,527;3,006;10,627;3,849;8,942;19,405;11,665;11,827;7,928;3,096;16,335;3,99;8,553;2,469;4,46;12,935;8,314
10/13/2008;20,526;8,66;27,57;2,783;8,675;5,832;2,522;20,478;11,567;2,73;8,236;7,736;20,633;14,312;1,423;18,388;3,373;13,202;9,11;1,902;6,101;3,882;2,869;2,642;2,871;3,702;25,928;5,002;2,707;4,774;5,924;5,588;10,158;12,116;3,863;11,619;4,153;10,406;24,47;12,155;13,36;8,527;3,395;17,67;4,206;9,102;3,292;4,259;13,514;9,092
10/14/2008;20,832;9,106;27,89;2,84;9,235;5,529;2,578;20,151;12,005;2,843;8,487;8,126;21,377;14,886;1,48;20,96;3,584;12,77;9,247;2,007;6,172;4,112;3,078;2,801;2,948;3,728;26,772;5,088;2,643;4,994;5,89;6,087;10,632;12,168;4,111;12,02;4,084;9,918;26,445;11,858;13,754;8,603;3,393;17,754;4,412;10,043;3,455;4,175;13,022;8,785
10/15/2008;18,313;8,374;24,027;2,569;8,27;4,652;2,312;16,408;10,686;2,599;8,092;7,476;21,102;13,921;1,461;19,34;2,779;10,868;8,36;1,807;5,917;3,776;2,89;2,612;2,644;3,557;25,428;4,485;2,406;4,602;5,815;5,356;9,588;9,855;4,106;11,444;3,876;8,221;20,976;11,665;11,757;7,504;3,388;15,135;4,356;8,239;2,822;3,821;12,433;7,105
10/16/2008;16,94;8,053;21,943;2,601;7,879;4,518;2,146;15,998;10,035;2,799;8,331;7,092;22,3;13,441;1,461;19,15;2,825;11,062;8,547;1,935;6,3;3,773;2,938;2,656;2,692;3,502;26,336;4,398;2,403;4,783;5,832;5,227;10,547;9,855;4,025;11,335;3,862;9,642;20,263;12,355;11,936;7,448;3,123;15,42;4,273;8,474;2,822;3,616;11,584;8,833
10/17/2008;17,543;7,668;22,493;2,742;7,746;4,383;2,03;16,557;9,445;2,65;8,427;6,871;22,343;13,393;1,455;16,539;2,56;11,367;8,453;1,97;6,144;3,815;2,984;2,642;2,523;3,439;28,062;4,304;2,255;4,792;5,832;5,132;10,152;10,145;4,313;11,052;3,879;9,684;20,993;11,741;12,046;6,961;2,906;15,454;4,29;8,482;3,06;3,777;11,391;9,495
10/20/2008;19,374;8,262;25,142;2,968;8,521;4,45;2,125;18,758;10,121;2,986;8,864;7,378;22,129;14,441;1,461;18,15;2,816;12,686;9,025;2,095;6,604;4,059;3,099;2,845;2,822;3,543;28,207;4,528;2,24;5,017;6,04;5,88;10,434;11,42;4,326;11,288;4,153;10,406;23,784;12,424;13,141;7,928;2,985;17,46;4,412;9,455;3,245;4,078;12,018;9,438
