Date;PETR4;BBDC4;PETR3;ABEV3;BBAS3;B3SA3;ITSA4;VALE3;ITUB4;LREN3;UGPA3;BBDC3;VIVT4;BRFS3;KROT3;FIBR3;JBSS3;GGBR4;EMBR3;RENT3;BRKM5;EQTL3;WEGE3;RADL3;LAME4;CCRO3;PCAR4;HYPE3;BRML3;CMIG4;TIMP3;SBSP3;EGIE3;BRAP4;ESTC3;ELET3;MULT3;CSNA3;BTOW3;NATU3;USIM5;CSAN3;TAEE1;GOAU4;ENBR3;CYRE3;MRVE3;IGTA3;MRFG3;GOLL4
10/1/2008;26,921;10,006;34,846;3,068;11,688;6,149;2,869;23,46;13,287;3,44;9,912;8,834;20,088;17,036;1,519;27,867;4,745;18,192;11,183;2,542;7,326;4,133;3,512;2,996;4,27;4,088;31,322;5,671;3,591;5,69;6,074;6,859;11,517;15,362;3,868;13,31;4,593;13,137;40,527;13,708;17,916;9,39;3,395;25,132;4,684;15,881;4,706;5,826;16,98;12,74
10/2/2008;26,402;9,837;33,837;3,058;11,421;6,014;2,833;22,973;13,025;3,381;9,655;8,763;20,431;16,921;1,487;27,315;4,534;17,684;11,285;2,322;7,262;4,189;3,47;2,952;4,149;3,958;31,331;5,52;3,458;5,678;6,032;6,844;11,557;15,113;3,816;12,884;4,568;12,932;39,908;13,667;17,232;9,216;3,463;24,755;4,666;15,457;4,586;5,666;16,13;13,22
10/3/2008;25,944;9,465;34,042;3,011;10,934;5,947;2,733;22,206;12,615;3,092;9,536;8,642;20,367;15,965;1,487;24,828;4,47;17,413;11,465;2,351;7,361;4,038;3,555;2,922;3,976;3,942;31,694;5,455;3,579;5,715;6,249;6,937;11,523;14,655;3,905;13,083;4,485;12,562;37,444;13,791;16,514;9,738;3,517;24,427;4,534;14,822;4,268;5,625;16,796;12,644
10/6/2008;23,159;8,319;30,597;2,911;9,05;4,787;2,392;19,908;10,903;2,772;8,605;7,801;19,886;13,992;1,46;22,685;3,437;15,054;10,398;1,681;6,477;3,529;3,211;2,656;3,44;3,604;28,706;5,088;2,977;5,269;6,165;6,087;11,563;12,637;3,398;12,162;4,222;10,731;30,051;12,914;13,36;8,91;3,422;21,153;4,219;13,653;3,363;5,585;16,41;11,041
10/7/2008;23,617;8,608;31,532;2,94;9,24;5,091;2,433;20,414;11,178;2,842;8,605;7,541;20,56;14,663;1,445;24,009;3,684;15,257;10,748;1,917;6,866;3,547;3,248;2,524;3,281;3,543;27,998;4,825;2,857;5,428;5,999;6,213;11,444;12,979;3,28;12,275;4,319;10,604;27,476;13,328;13,732;8,353;3,42;21,741;4,393;14,359;3,241;5,465;16,401;11,406
10/8/2008;22,129;8,615;30,343;2,712;8,731;5,219;2,454;19,991;11,346;2,606;7,655;7,443;20,186;13,175;1,381;20,951;3,556;13,954;10,236;2,007;6,017;3,261;3,057;2,394;2,977;3,475;27,045;4,614;2,406;5,196;5,832;5,885;10,632;12,197;2,875;11,524;4,375;10,012;22,753;12,7;12,484;8,889;3,259;19,29;4,39;11,252;2,846;5,344;15,638;9,562
10/9/2008;21,747;8,451;29,039;2,726;8,562;5,758;2,371;19,87;10,813;2,548;7,278;7,521;19,86;14,219;1,381;19,579;3,73;13,455;9,724;1,995;5,811;3,529;3,099;2,332;3,068;3,702;26,627;4,765;2,237;4,735;5,665;5,839;10,209;12,104;3,108;11,69;4,458;10,204;22,667;12,424;12,423;9,118;3,259;18,618;4,469;11,142;3,165;5,3;15,628;9,745
10/10/2008;19,115;7,508;25,593;2,554;7,843;5,448;2,075;18,302;10,035;2,388;6,703;6,627;19,185;12,842;1,367;15,863;2,679;12,009;8,402;1,847;5,238;3,42;2,52;2,506;2,736;3,382;24,384;4,571;2,346;4,659;5,615;5,215;9,16;10,637;3,006;10,863;4,153;9,069;20,177;11,769;11,871;8,325;3,123;16,78;4,219;8,631;2,587;4,46;13,312;8,89
10/13/2008;20,526;8,759;27,587;2,841;8,901;5,832;2,522;20,478;11,567;2,814;8,236;7,736;21,793;15,041;1,423;18,388;3,456;13,202;9,11;2,078;6,137;3,928;2,869;2,925;2,871;3,702;26,291;5,002;2,776;4,87;6,24;5,829;10,158;12,116;3,863;11,619;4,153;10,406;24,702;12,424;13,36;8,736;3,395;18,266;4,316;9,376;3,292;4,822;14,287;9,572
10/14/2008;22,129;9,481;29,793;2,912;9,753;6,25;2,691;22,058;12,615;3,111;8,638;8,158;21,935;15,33;1,487;21,779;4,068;14,521;9,98;2,108;6,583;4,112;3,259;2,801;3,17;3,897;28,152;5,33;2,857;5,096;6,165;6,148;10,807;13,287;4,153;12,611;4,236;11,381;27,355;12,528;14,652;9,153;3,666;20,062;4,598;10,161;3,622;4,42;14,373;9,879
