Date;PETR4;BBDC4;PETR3;ABEV3;BBAS3;B3SA3;ITSA4;VALE3;ITUB4;LREN3;UGPA3;BBDC3;VIVT4;BRFS3;KROT3;FIBR3;JBSS3;GGBR4;EMBR3;RENT3;BRKM5;EQTL3;WEGE3;RADL3;LAME4;CCRO3;PCAR4;HYPE3;BRML3;CMIG4;TIMP3;SBSP3;EGIE3;BRAP4;ESTC3;ELET3;MULT3;CSNA3;BTOW3;NATU3;USIM5;CSAN3;TAEE1;GOAU4;ENBR3;CYRE3;MRVE3;IGTA3;MRFG3;GOLL4
10/1/2008;25,41;9,461;32,484;2,955;11,139;5,461;2,7;21,892;12,472;3,099;9,303;8,353;18,562;15,708;1,519;26,972;4,132;17,075;10,757;2,2;7,057;3,84;3,236;2,952;3,845;3,787;29,606;5,343;3,368;5,402;5,715;6,416;11,083;14,347;3,463;12,823;4,361;12,363;36,611;12,742;16,956;8,958;3,244;23,982;4,341;14,908;4,294;5,545;15,831;11,502
10/2/2008;23,891;8,862;30,761;2,886;10,297;5,327;2,555;20,478;11,796;2,799;8,927;7,866;19,22;14,797;1,372;24,056;4,205;15,866;10,663;2,028;6,937;3,741;3,282;2,863;3,676;3,623;29,515;5,132;3,323;5,365;5,715;6,45;10,976;13,547;3,555;11,817;4,267;11,609;34,035;12,569;15,125;8,374;3,313;22,497;4,346;13,629;3,894;5,585;15,541;11,473
10/3/2008;23,35;8,631;30,704;2,866;9,753;4,855;2,472;20,318;11,387;2,822;8,477;7,736;19,293;14,623;1,435;21,436;3,757;15,477;10,518;1,882;6,547;3,656;3,328;2,745;3,619;3,465;28,788;5,045;3,206;5,387;5,749;6,157;11,14;13,333;3,636;11,997;4,372;11,284;33,486;12,976;14,911;8,979;3,419;21,405;4,209;13,143;3,335;5,545;15,638;11,233
10/6/2008;19,077;7,248;25,208;2,641;8,069;4,147;2,045;16,734;9,384;2,417;7,439;6,468;17,703;12,886;1,276;20,007;2,953;12,567;9,741;1,556;5,917;3,272;3,108;2,509;2,962;3,101;25,855;4,398;2,646;4,844;5,407;5,432;9,814;10,666;2,914;10,632;3,976;8,559;25,621;12,19;11,836;7,608;3,422;18,476;3,877;12,24;2,646;5,147;14,489;9,649
10/7/2008;20,832;7,822;28,013;2,729;8,377;4,592;2,238;18,148;10,207;2,424;7,295;6,959;18,915;12,046;1,377;20,512;3,218;13,574;9,963;1,603;5,932;3,282;3,076;2,394;2,856;3,261;26,191;4,571;2,406;5,096;5,624;5,593;10,265;11,49;2,883;11,411;4,153;9,336;23,268;12,424;12,265;7,239;3,059;18,845;4,112;11,377;2,751;5,228;15,445;9,591
10/8/2008;19,756;7,37;26,25;2,515;7,7;4,329;2,015;16,958;9,421;2,403;6,742;6,481;19,361;11,331;1,328;18,197;3,3;12,432;9,341;1,505;5,592;2,915;2,885;2,037;2,726;3,204;25,156;4,355;2,045;4,477;5,44;5,235;9,775;10,608;2,744;10,367;3,993;8,799;19,757;11,851;11,608;7,566;2,987;17,267;4,039;9,965;2,493;4,906;12,047;8,814
10/9/2008;19,542;7,537;25,462;2,426;7,52;4,983;2,075;17,598;9,666;2,411;6,554;6,579;19,164;12,442;1,286;17,054;3,026;11,764;8,957;1,799;5,273;3,258;2,663;2,184;2,552;3,188;24,247;4,636;2,045;4,368;5,357;5,113;9,216;10,261;2,849;11,151;4,164;9,3;20,092;11,672;11,433;8,492;3,09;16,537;4,136;8,56;2,728;5,163;13,109;8,41
10/10/2008;17,474;6,577;23,083;2,169;6,519;4,619;1,814;15,774;8,278;2,204;5,968;5,857;18,094;11,997;1,367;15,053;2,34;10,385;7,677;1,438;4,672;2,982;2,192;2,066;2,128;3,092;22,34;4,312;1,804;4,035;4,849;4,626;8,122;8,898;2,747;9,729;3,76;7,356;16,777;10,699;10,25;7,587;2,947;14,354;3,875;7,415;2,258;3,62;11,149;7,393
10/13/2008;18,939;7,572;24,986;2,656;7,71;5,428;2,125;18,225;10,055;2,427;6,79;6,761;18,902;13,019;1,422;16,482;2,788;12,145;8,598;1,797;5,387;3,431;2,64;2,509;2,557;3,422;24,52;4,42;2,168;4,499;5,615;5,125;9,312;10,997;3,006;10,91;3,849;9,007;20,512;11,603;12,134;8,081;3,123;16,788;4,131;8,553;2,542;4,259;12,52;8,852
10/14/2008;20,091;8,724;26,66;2,74;8,839;5,408;2,436;18,878;11,423;2,711;7,971;7,508;20,93;14,472;1,48;18,693;3,319;12,339;8,957;1,94;5,988;3,893;3,023;2,45;2,856;3,671;25,755;5,088;2,541;4,805;5,665;5,722;10,209;11,304;3,863;11,713;4,07;9,811;24,728;11,61;13,321;8,388;3,393;17,225;4,3;9,18;3,175;4,139;12,781;8,506
10/15/2008;17,482;7,582;22,837;2,455;7,761;4,45;2,075;15,992;9,707;2,445;7,661;6,631;20,792;13,33;1,434;17,864;2,624;10,445;8,121;1,679;5,656;3,762;2,72;2,524;2,422;3,402;23,612;4,42;2,301;4,521;5,415;5,076;9,588;9,542;3,764;10,792;3,818;7,642;19,757;11,285;11,696;7,344;3,388;14,43;4,262;7,846;2,756;3,817;12,182;6,797
10/16/2008;16,108;7,187;20,77;2,398;7,448;4,005;1,989;14,61;9,216;2,46;7,816;6,179;21,312;12,668;1,434;18,578;2,651;9,87;8,155;1,631;5,903;3,632;2,688;2,612;2,388;3,204;24,266;3,924;2,195;4,554;5,49;4,869;9,476;8,933;3,855;10,839;3,765;7,352;18,718;11,327;10,688;7,17;3,123;13,725;4,153;7,595;2,38;3,48;10,155;7,201
10/17/2008;16,406;7,594;21,533;2,52;7,674;4,207;2,03;15,506;9,445;2,65;8,044;6,663;21,94;13,33;1,455;16,539;2,56;10,572;8,232;1,824;5,988;3,738;2,878;2,6;2,523;3,367;25,147;4,269;2,183;4,732;5,665;4,911;10,152;9,565;4,182;11,052;3,862;9,268;19,628;11,596;11,564;6,961;2,906;15,034;4,262;8,05;2,587;3,536;11,101;8,333
10/20/2008;17,94;7,732;23,132;2,769;7,967;4,349;2,033;16,951;9,638;2,686;8,102;6,826;22,129;13,801;1,46;16,778;2,578;11,713;8,496;1,884;6,101;3,836;3,03;2,845;2,581;3,391;27,39;4,355;2,108;4,792;5,707;5,174;9,893;10,156;4,185;10,943;3,904;9,723;20,993;11,851;12,199;7,079;2,968;15,949;4,23;8,647;3,107;3,777;11,632;8,958
10/21/2008;18,413;7,909;23,707;2,86;8,151;4,187;2,042;17,937;9,748;2,73;8,339;6,923;21,531;13,837;1,45;17,054;2,697;12,06;8,615;1,925;6,123;3,882;2,961;2,845;2,658;3,386;26,799;4,355;2,111;4,921;5,699;5,478;10,152;10,95;4,064;10,948;3,973;9,642;22,418;11,817;12,541;7,559;2,911;16,52;4,318;8,874;3,057;3,966;11,101;8,929
10/22/2008;17,405;7,158;22,493;2,498;7,125;3,587;1,838;17,411;8,745;2,531;8,155;6,208;21,011;13,397;1,45;16,778;2,816;10,834;8,334;1,573;5,84;3,776;2,869;2,771;2,412;3,156;25,455;4,485;1,723;4,522;4,249;5,164;9,476;10,353;3,79;10,155;3,71;8,559;20,607;11,361;11,301;7,33;2,674;14,975;4,132;7,886;2,596;4,038;10,184;8,161
10/23/2008;16,635;6,577;21,328;2,341;6,519;3,196;1,645;16,031;7,803;2,42;7,514;5,753;20,693;12,442;1,354;15,758;2,706;10,157;7,856;1,493;5,677;3,565;2,55;2,509;2,2;2,911;24,229;4,317;1,654;4,311;4,207;4,577;9,476;9,617;3,555;9,536;3,464;7,967;19,001;11,589;10,671;6,891;2,522;14,153;3,999;7,109;2,403;4,018;9,653;7,786
