Date;PETR4;BBDC4;PETR3;ABEV3;BBAS3;B3SA3;ITSA4;VALE3;ITUB4;LREN3;UGPA3;BBDC3;VIVT4;BRFS3;KROT3;FIBR3;JBSS3;GGBR4;EMBR3;RENT3;BRKM5;EQTL3;WEGE3;RADL3;LAME4;CCRO3;PCAR4;HYPE3;BRML3;CMIG4;TIMP3;SBSP3;EGIE3;BRAP4;ESTC3;ELET3;MULT3;CSNA3;BTOW3;NATU3;USIM5;CSAN3;TAEE1;GOAU4;ENBR3;CYRE3;MRVE3;IGTA3;MRFG3;GOLL4
10/1/2008;26,707;9,782;34,362;2,997;11,652;5,765;2,78;23,325;12,861;3,384;9,385;8,723;19,164;16,165;1,519;27,534;4,397;18,141;11,166;2,542;7,199;4,059;3,305;2,952;4,029;4,026;29,914;5,61;3,458;5,445;5,799;6,574;11,506;15,246;3,738;13,31;4,593;13,072;39,067;12,776;17,832;9,063;3,245;25,09;4,472;15,3;4,703;5,549;16,98;11,895
10/2/2008;25,906;9,738;33,788;2,988;11,421;6,001;2,789;22,973;12,898;3,381;9,655;8,763;19,645;16,592;1,376;27,315;4,48;17,464;11,157;2,322;7,262;4,129;3,47;2,952;4,149;3,929;30,114;5,52;3,458;5,606;5,865;6,683;11,365;15,014;3,816;12,71;4,568;12,519;39,316;13,294;17,193;9,049;3,313;24,511;4,666;15,457;4,539;5,666;16,13;12,481
10/3/2008;25,028;9,369;32,394;2,94;10,718;5,792;2,733;21,118;12,55;2,927;9,287;8,629;19,422;15,508;1,487;24,828;4,361;16,492;11,115;2,308;7,007;4,038;3,34;2,922;3,927;3,784;30,187;5,179;3,576;5,546;6,024;6,574;11,337;14,087;3,79;12,762;4,485;12,168;37,444;13,19;16,067;8,979;3,476;23,202;4,534;14,359;4,115;5,625;15,841;12,107
10/6/2008;21,663;8,242;28,669;2,81;8,778;4,403;2,267;19,064;10,649;2,772;8,605;7,801;17,703;12,886;1,276;20,579;3,209;13,582;10,322;1,631;6,264;3,529;3,211;2,58;3,44;3,364;28,706;5,088;2,977;5,269;5,782;5,846;10,886;12,434;3,398;11,978;4,15;9,755;29,184;12,424;13,185;8,457;3,422;18,895;4,07;12,358;3,363;5,585;15,252;10,561
10/7/2008;22,663;7,973;29,793;2,84;8,896;4,787;2,395;19,518;10,649;2,659;8,389;7,346;18,915;13,548;1,444;21,913;3,401;14,842;9,963;1,651;6,477;3,441;3,19;2,524;3,199;3,398;26,881;4,571;2,854;5,096;5,999;6,084;11,061;12,695;3,15;12,162;4,222;10,406;27,038;12,804;13,141;8,214;3,26;20,834;4,318;14,359;3,21;5,465;16,401;10,57
10/8/2008;20,374;7,524;27,07;2,708;7,751;4,383;2,104;17,534;9,502;2,417;7,655;6,826;19,551;12,108;1,381;20,951;3,373;12,694;9,989;1,681;6,017;3,176;3,057;2,394;2,822;3,303;27,017;4,485;2,255;5,067;5,665;5,356;10,491;10,724;2,875;11,524;4,153;8,845;21,302;12,079;11,696;7,587;3,259;18,215;4,39;10,985;2,587;5,344;15,242;9,37
10/9/2008;21,671;8,438;28,965;2,637;8,475;5,259;2,344;19,198;10,69;2,508;7,278;7,476;19,589;13,073;1,381;18,588;3,611;13,362;9,537;1,93;5,748;3,258;3,099;2,214;3,015;3,502;26,027;4,657;2,144;4,682;5,64;5,675;10,107;11,6;2,849;11,312;4,458;10,077;22,624;12,155;12,265;8,708;3,259;18,618;4,226;10,985;2,895;5,224;15,435;9,409
10/10/2008;17,558;6,577;24,15;2,201;6,545;4,652;1,882;16,062;8,278;2,275;6,703;6,335;19,129;12,397;1,367;15,234;2,477;10,918;8,402;1,709;5,238;3,131;2,295;2,214;2,412;3,22;23,721;4,571;1,94;4,222;4,916;4,626;8,122;8,898;2,747;10,296;4,153;8,393;18,889;11,216;10,736;8,255;3,096;15,11;4,219;7,572;2,587;4,42;11,873;7,681
10/13/2008;20,068;7,726;26,34;2,74;7,956;5,596;2,166;19,614;10,162;2,452;6,79;7,281;18,902;13,175;1,423;17,292;2,898;12,94;8,718;1,797;5,634;3,431;2,64;2,509;2,654;3,639;25,737;4,42;2,406;4,659;5,615;5,447;9,588;11,443;3,006;11,586;3,849;9,755;20,735;12,424;12,826;8,645;3,123;17,838;4,168;9,18;2,639;4,581;13,707;9,351
10/14/2008;21,671;9,192;28,973;2,877;9,342;6,068;2,647;21,534;12,144;2,879;8,619;7,866;20,93;14,708;1,487;19,483;3,666;14,039;9,434;1,995;6,25;3,953;3,023;2,45;2,996;3,897;27,281;5,175;2,857;5,013;6,074;5,868;10,519;12,933;3,863;12,044;4,236;10,78;25,801;12,41;14,236;8,812;3,513;19,231;4,598;9,494;3,457;4,42;14,373;9,524
10/15/2008;19,84;8,566;26,463;2,712;8,685;5,232;2,41;18,545;11,264;2,659;8,416;7,635;21,372;14,588;1,487;20,836;3,383;12,026;8,957;1,977;5,847;4,024;2,984;2,656;2,779;3,591;26,327;4,985;2,304;4,803;5,79;5,843;10,378;11,13;4,111;11,477;4,084;9,3;24,986;11,382;12,944;8,276;3,395;16,99;4,399;9,416;3,269;4,175;12,781;8,497
10/16/2008;18,329;8,406;23,887;2,597;8,316;4,787;2,356;16,638;10,891;2,715;8,044;7,472;21,561;13,966;1,487;19,255;2,925;11,071;8,377;1,819;6,193;3,812;2,844;2,627;2,736;3,543;25,882;4,532;2,406;4,79;5,957;5,454;9,87;9,913;4,104;11,51;3,943;8,263;21,594;12,065;11,849;7,65;3,259;15,319;4,482;8,356;2,923;3,817;12,742;7,229
10/17/2008;17,123;7,758;22,287;2,597;7,905;4,43;2,134;15,631;10,076;2,843;8,236;7,154;21,948;13,69;1,455;19,426;2,834;10,986;8,76;1,894;6,356;3,738;2,984;2,656;2,687;3,478;25,346;4,442;2,406;4,783;5,674;5,223;10,575;9,826;4,757;11,52;3,876;9,918;20,237;12,045;11,796;7,483;3,123;15,101;4,273;8,474;2,796;3,62;11,873;8,65
10/20/2008;18,001;7,793;23,132;2,769;8,054;4,565;2,101;17,083;9,781;2,686;8,452;7,134;22,769;13,997;1,466;17,616;2,697;11,798;8,53;1,957;6,37;3,889;3,03;2,845;2,644;3,451;28,062;4,355;2,286;4,792;6,082;5,271;10,152;10,371;4,185;11,43;3,904;9,85;21,036;12,355;12,199;7,079;2,98;15,949;4,254;8,647;3,107;3,777;11,777;9,591
10/21/2008;18,909;7,979;24,593;2,94;8,213;4,437;2,054;18,265;9,826;2,812;8,78;7,31;22,129;14,006;1,46;17,835;2,743;12,263;9,025;1,977;6,123;4,059;3,099;2,845;2,673;3,647;27,544;4,528;2,243;5,023;6,007;5,478;10,288;11,043;4,323;11,076;4,178;9,983;23,08;12,21;12,834;7,866;2,987;17,124;4,318;8,898;3,243;3,978;12,018;9,255
10/22/2008;18,008;7,877;23,296;2,792;7,751;4,005;2,012;17,937;9,625;2,558;8,753;6,923;21,097;13,828;1,46;17,444;2,925;11,671;8,368;1,882;6,031;3,918;2,904;2,922;2,615;3,502;27,589;4,631;2,063;4,732;5,557;5,283;10,102;11,119;4,182;10,518;3,959;9,108;22,753;11,803;12,155;7,65;2,716;15,949;4,132;9,188;3,219;4,295;11,651;9,505
10/23/2008;17,459;7,206;22,517;2,455;6,935;3,574;1,832;17,273;8,601;2,526;8,236;6,338;21,054;13,552;1,407;16,73;2,816;10,808;8,402;1,531;5,84;3,762;2,871;2,771;2,436;3,158;25,246;4,567;1,726;4,601;4,666;5,186;9,978;10,319;3,659;10,079;3,666;8,451;19,92;11,672;11,017;7,239;2,58;14,799;4,187;7,838;2,584;4,078;10,618;8,353
10/24/2008;15,826;6,183;20,253;2,341;6,314;2,872;1,538;15,644;7,27;2,346;7,983;5,782;20,423;12,353;1,434;15,377;2,688;9,726;8,189;1,48;5,67;3,6;2,376;2,379;2,268;2,897;24,366;4,334;1,552;4,323;4,082;4,504;9,504;9,449;3,79;8,955;3,289;7,691;18,847;11,693;10,36;6,815;2,173;13,431;4,018;6,709;2,488;4,018;9,643;7,709
10/27/2008;15,315;6,353;19,466;2,455;6,416;3,034;1,482;15,769;7,168;2,339;7,609;5,324;21,909;12,486;1,423;15,911;2,624;9,726;7,925;1,606;5,521;3,459;2,295;2,45;2,171;2,787;23,603;4,329;1,561;4,282;4,082;4,921;9,38;9,652;3,398;9,399;3,115;7,642;17,687;11,907;10,075;6,084;2,24;13,019;3,672;6,316;2,354;4,014;8,688;7,297
10/28/2008;14,88;6,597;19,113;2,556;6,416;2,933;1,577;15,604;7,598;2,587;7,699;5,558;22,773;13,286;1,285;15,73;3,063;9,599;8,001;1,418;5,394;3,706;2,405;2,42;2,34;2,576;24,52;4,528;1,447;4,514;4,332;4,772;9,459;9,513;3,45;9,918;2,907;8,064;19,13;11,734;10,513;6,279;2,308;13,028;3,74;6,512;2,307;3,898;9,363;7,009
10/29/2008;15,658;7,187;20,507;2,709;6,878;3,115;1,704;17,083;8,028;2,752;7,853;6,013;23,375;12,908;1,062;17,387;3,127;10,918;8,615;1,664;6,13;3,794;2,525;2,258;2,924;2,721;26,336;4,593;1,552;4,805;4,974;5,186;9,583;10,313;3,252;10,707;3,732;9,235;22,324;12,003;11,871;7,657;2,17;14,816;4,131;8,262;2,594;4,03;9,064;7,892
10/30/2008;17,016;7,829;22,156;2,745;7,371;3,742;1,971;18,002;9,38;2,816;7,565;6,497;22,554;12,53;1,025;17,273;3,291;11,375;9,366;2,007;6,087;4,091;2,598;2,361;2,958;2,737;28,025;4,743;2,105;4,878;4,957;5,383;9,588;10,898;3,502;11,241;3,738;9,723;23,44;11,996;12,769;8,005;2,16;15,689;4,296;9,259;2,695;4,018;8,881;7,978
10/31/2008;16,978;8,021;22,386;2,555;7,238;3,911;2,001;17,562;9,494;2,415;8,117;7,053;21,265;13,33;0,945;19,588;3,465;11,798;9,596;2,057;6,3;4,038;2,637;2,662;2,861;3,14;29,969;4,873;2,304;4,761;4,99;5,795;9,476;10,945;3,432;12,28;3,309;9,755;23,612;12,355;12,878;7,657;2,173;16,36;4,393;9,219;2,723;4,026;9,653;9,121
11/3/2008;18,085;8,021;23,871;2,615;7,751;4,059;2,415;18,699;11,024;2,279;7,717;7,144;20,887;14,13;0,903;20,712;3,648;12,128;9,596;2,183;6,76;4,235;2,874;2,807;2,962;3,446;30,686;5,326;2,406;4,853;4,674;6,106;9,645;11,47;3,62;12,549;3,004;9,43;24,11;12,976;12,436;7,42;2,284;16,612;4,395;8,458;2,719;4,098;10,242;9,025
11/4/2008;18,161;8,763;23,961;2,711;7,751;4,106;2,475;19,796;11,392;2,498;8,236;7,285;20,9;14,539;0,956;21,617;4,114;12,305;9,417;2,133;6,873;4,006;3,076;2,952;3,035;3,414;31,703;5,692;2,352;5,193;5,082;6,696;9,842;12,476;3,855;12,653;2,949;9,56;24,668;13,736;12,396;7,622;2,431;17,166;4,534;9,667;2,81;4,119;10,86;9,61
11/5/2008;19,069;8,661;25,101;2,654;8,572;4,477;2,573;20,072;11,577;2,545;8,435;7,35;20,672;15,285;0,956;21,332;3,657;13,016;9,486;2,128;6,285;3,9;3,122;3,235;3,136;3,295;32,239;6,037;2,439;4,921;4,832;6,318;10,04;12,691;3,842;12,285;3,018;9,72;25,947;14,357;12,173;7,712;2,496;18,341;4,713;9,635;2,94;4,098;10,445;9,495
